Config,DataFile,Strategy,StrategyLabel,RunID,Seed,K,N2Raw,Users,Candidates,InitialCost,FinalCost,ImprovementPct,Iterations,InitialCoverage,FinalCoverage,InitialSolution,FinalSolution,FinalGapPct,JaccardToBest
10_150,data/input_data_10_150_8_new.xlsx,random,Random,24,66,10,11,150,20,11302.669200300003,3665.3642236796645,67.57080864064946,8,0.78,0.9266666666666666,1 2 4 7 8 9 12 13 14 15,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,25,67,10,11,150,20,14105.33451430247,3665.3642236796645,74.01434031952186,13,0.7666666666666667,0.9266666666666666,2 3 4 6 7 9 13 14 15 17,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,26,68,10,11,150,20,17042.88955417216,3665.3642236796645,78.49329356956157,8,0.7133333333333334,0.9266666666666666,3 4 5 7 10 11 13 14 16 18,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,27,69,10,11,150,20,14335.885809916617,3923.9943554484084,72.62816956358533,15,0.7466666666666667,0.92,1 2 3 5 6 8 11 12 13 17,0 3 4 7 8 9 11 15 18 19,7.056055441854691,0.5384615384615384
10_150,data/input_data_10_150_8_new.xlsx,random,Random,28,70,10,11,150,20,17055.26853604493,3665.3642236796645,78.50890347499828,17,0.7133333333333334,0.9266666666666666,1 2 3 4 5 9 10 11 14 17,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,29,71,10,11,150,20,27404.7718629682,3665.3642236796645,86.62508762339804,13,0.62,0.9266666666666666,0 1 3 4 8 10 12 13 15 16,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,30,72,10,11,150,20,10948.212838000276,3665.3642236796645,66.5208899578796,11,0.7933333333333333,0.9266666666666666,2 5 9 10 11 14 15 16 17 19,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,31,73,10,11,150,20,16073.324342266313,3665.3642236796645,77.19597921606518,15,0.7066666666666667,0.9266666666666666,1 3 4 5 7 8 9 14 15 16,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,32,74,10,11,150,20,13032.933842642231,3665.3642236796645,71.87613880393513,13,0.76,0.9266666666666666,2 3 4 5 10 12 15 16 17 19,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,33,75,10,11,150,20,12742.791997003415,3665.3642236796645,71.23578392755992,8,0.7733333333333333,0.9266666666666666,1 8 10 11 12 13 14 16 18 19,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,34,76,10,11,150,20,16035.572821880069,3665.3642236796645,77.14229317284891,21,0.7333333333333333,0.9266666666666666,0 3 4 6 9 11 12 14 16 19,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,35,77,10,11,150,20,10816.831604695733,3858.752585506522,64.32640604452615,9,0.82,0.9266666666666666,1 4 6 7 8 10 13 16 17 19,0 2 4 6 7 8 10 11 13 19,5.276102183174432,0.5384615384615384
10_150,data/input_data_10_150_8_new.xlsx,random,Random,36,78,10,11,150,20,19864.831390793694,3665.3642236796645,81.54847553662918,11,0.72,0.9266666666666666,0 2 3 6 8 9 10 12 13 14,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,37,79,10,11,150,20,10514.96153664466,3665.3642236796645,65.14143954872434,9,0.8133333333333334,0.9266666666666666,2 3 4 5 7 11 13 14 15 17,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,38,80,10,11,150,20,16407.456566467,3665.3642236796645,77.66037527613628,11,0.7066666666666667,0.9266666666666666,0 5 6 8 11 12 13 14 17 19,0 7 8 10 11 13 14 15 18 19,0.0,1.0
